,title,department,location,date_added,link
118,Trusted Execution Software Engineer,Software and Services,Santa Clara Valley (Cupertino),"Sep 10, 2021",https://jobs.apple.com/en-us/details/200284625/trusted-execution-software-engineer?team=SFTWR
119,AR/VR Pipeline DevOps Engineer,Software and Services,Santa Clara Valley (Cupertino),"Oct 8, 2021",https://jobs.apple.com/en-us/details/200215608/ar-vr-pipeline-devops-engineer?team=SFTWR
120,AirPlay Partner Engagement Engineer,Software and Services,San Diego,"Oct 21, 2021",https://jobs.apple.com/en-us/details/200246716/airplay-partner-engagement-engineer?team=SFTWR
121,"Security Engineer,  OS Security",Software and Services,Santa Clara Valley (Cupertino),"Aug 30, 2021",https://jobs.apple.com/en-us/details/200263179/security-engineer-os-security?team=SFTWR
122,AR/VR Pipeline Software Engineer,Software and Services,Santa Clara Valley (Cupertino),"Oct 8, 2021",https://jobs.apple.com/en-us/details/200298263/ar-vr-pipeline-software-engineer?team=SFTWR
123,"Linux DevOps Engineer, Apple Pay",Software and Services,Austin,"May 17, 2021",https://jobs.apple.com/en-us/details/200248364/linux-devops-engineer-apple-pay?team=SFTWR
124,Internal Test Systems Engineer,Software and Services,Santa Clara Valley (Cupertino),"May 18, 2021",https://jobs.apple.com/en-us/details/200222544/internal-test-systems-engineer?team=SFTWR
125,Internal Test Systems Engineer,Software and Services,Santa Clara Valley (Cupertino),"Aug 2, 2021",https://jobs.apple.com/en-us/details/200264259/internal-test-systems-engineer?team=SFTWR
126,Performance Engineer,Software and Services,Santa Clara Valley (Cupertino),"Jun 26, 2020",https://jobs.apple.com/en-us/details/200178052/performance-engineer?team=SFTWR
127,Tools Applications Engineer,Software and Services,Santa Clara Valley (Cupertino),"Oct 14, 2020",https://jobs.apple.com/en-us/details/200084315/tools-applications-engineer?team=SFTWR
128,Xcode Frameworks Engineer,Software and Services,Santa Clara Valley (Cupertino),"Sep 21, 2021",https://jobs.apple.com/en-us/details/200229582/xcode-frameworks-engineer?team=SFTWR
129,Xcode Frameworks Engineer,Software and Services,Santa Clara Valley (Cupertino),"Aug 2, 2021",https://jobs.apple.com/en-us/details/200267176/xcode-frameworks-engineer?team=SFTWR
130,File System Engineer,Software and Services,Santa Clara Valley (Cupertino),"Oct 14, 2021",https://jobs.apple.com/en-us/details/200298681/file-system-engineer?team=SFTWR
131,iOS/macOS QA Engineer,Software and Services,San Diego,"Aug 12, 2021",https://jobs.apple.com/en-us/details/200265101/ios-macos-qa-engineer?team=SFTWR
132,SPG iOS Software Engineer - Platform Foundation / Low Level Software,Software and Services,Santa Clara Valley (Cupertino),"Jul 6, 2021",https://jobs.apple.com/en-us/details/200262405/spg-ios-software-engineer-platform-foundation-low-level-software?team=SFTWR
133,Rendering Software Engineer,Software and Services,Santa Clara Valley (Cupertino),"Aug 5, 2020",https://jobs.apple.com/en-us/details/200142883/rendering-software-engineer?team=SFTWR
