,title,department,location,date_added,link
94,Software QA Engineer,Software and Services,Santa Clara Valley (Cupertino),"May 28, 2021",https://jobs.apple.com/en-us/details/200252454/software-qa-engineer?team=SFTWR
95,Cellular Interoperability Engineer,Software and Services,Santa Clara Valley (Cupertino),"Oct 21, 2021",https://jobs.apple.com/en-us/details/200292402/cellular-interoperability-engineer?team=SFTWR
96,Quality Engineer (Functional/Automation),Software and Services,Austin,"Sep 15, 2021",https://jobs.apple.com/en-us/details/200283434/quality-engineer-functional-automation?team=SFTWR
97,Network Security Engineer,Software and Services,Austin,"Sep 20, 2021",https://jobs.apple.com/en-us/details/200289662/network-security-engineer?team=SFTWR
98,Sr. DevOps Engineer,Software and Services,Santa Clara Valley (Cupertino),"Sep 10, 2021",https://jobs.apple.com/en-us/details/200286451/sr-devops-engineer?team=SFTWR
99,Embedded Software Engineer,Software and Services,Santa Clara Valley (Cupertino),"Oct 1, 2021",https://jobs.apple.com/en-us/details/200278063/embedded-software-engineer?team=SFTWR
100,AR/VR Research Engineer,Software and Services,Santa Clara Valley (Cupertino),"Oct 14, 2021",https://jobs.apple.com/en-us/details/200222899/ar-vr-research-engineer?team=SFTWR
101,WiFi Quality Engineer,Software and Services,Santa Clara Valley (Cupertino),"Oct 21, 2021",https://jobs.apple.com/en-us/details/200302820/wifi-quality-engineer?team=SFTWR
102,iOS/macOS QA Engineer,Software and Services,San Diego,"Aug 12, 2021",https://jobs.apple.com/en-us/details/200265101/ios-macos-qa-engineer?team=SFTWR
103,Cellular Interoperability Engineer,Software and Services,Santa Clara Valley (Cupertino),"Oct 21, 2021",https://jobs.apple.com/en-us/details/200292400/cellular-interoperability-engineer?team=SFTWR
104,Front-End Software Engineer,Software and Services,Santa Clara Valley (Cupertino),"Aug 20, 2021",https://jobs.apple.com/en-us/details/200279945/front-end-software-engineer?team=SFTWR
105,DevOps Engineer (CI/CD),Software and Services,San Diego,"Oct 21, 2021",https://jobs.apple.com/en-us/details/200254352/devops-engineer-ci-cd?team=SFTWR
106,Software Engineer - AMP Analytics Engineering Data Pipeline,Software and Services,Seattle,"Oct 22, 2021",https://jobs.apple.com/en-us/details/200262049/software-engineer-amp-analytics-engineering-data-pipeline?team=SFTWR
107,AVFoundation Tools Engineer,Software and Services,Santa Clara Valley (Cupertino),"May 24, 2021",https://jobs.apple.com/en-us/details/200083604/avfoundation-tools-engineer?team=SFTWR
108,Performance Tools Engineer,Software and Services,Santa Clara,"Jul 16, 2021",https://jobs.apple.com/en-us/details/200254322/performance-tools-engineer?team=SFTWR
109,CoreMedia Performance Engineer,Software and Services,San Diego,"Jun 29, 2021",https://jobs.apple.com/en-us/details/200221277/coremedia-performance-engineer?team=SFTWR
110,OS Performance Engineer,Software and Services,San Diego,"Aug 11, 2021",https://jobs.apple.com/en-us/details/200276572/os-performance-engineer?team=SFTWR
111,Technical Partner Engineer,Software and Services,Santa Clara Valley (Cupertino),"Jun 3, 2020",https://jobs.apple.com/en-us/details/200173720/technical-partner-engineer?team=SFTWR
112,Bluetooth Performance Engineer,Software and Services,Santa Clara Valley (Cupertino),"Jun 29, 2021",https://jobs.apple.com/en-us/details/200229848/bluetooth-performance-engineer?team=SFTWR
113,Stability Tools Engineer,Software and Services,Santa Clara Valley (Cupertino),"Sep 15, 2021",https://jobs.apple.com/en-us/details/200288199/stability-tools-engineer?team=SFTWR
114,Authentication Experience Engineer,Software and Services,Santa Clara Valley (Cupertino),"Sep 22, 2021",https://jobs.apple.com/en-us/details/200290578/authentication-experience-engineer?team=SFTWR
115,OS Performance Engineer,Software and Services,Santa Clara Valley (Cupertino),"Aug 10, 2021",https://jobs.apple.com/en-us/details/200275579/os-performance-engineer?team=SFTWR
116,Automation Lab Engineer,Software and Services,Santa Clara Valley (Cupertino),"Sep 28, 2021",https://jobs.apple.com/en-us/details/200251021/automation-lab-engineer?team=SFTWR
117,Media Streaming Engineer,Software and Services,San Diego,"Oct 14, 2021",https://jobs.apple.com/en-us/details/200279440/media-streaming-engineer?team=SFTWR
118,OS Performance Engineer,Software and Services,Santa Clara,"Sep 7, 2021",https://jobs.apple.com/en-us/details/200270991/os-performance-engineer?team=SFTWR
119,Platform Kernel Engineer,Software and Services,Austin,"Sep 17, 2021",https://jobs.apple.com/en-us/details/200287260/platform-kernel-engineer?team=SFTWR
120,GPU Compiler/Driver Engineer,Software and Services,Santa Clara Valley (Cupertino),"Aug 3, 2021",https://jobs.apple.com/en-us/details/200243541/gpu-compiler-driver-engineer?team=SFTWR
121,Platform Kernel Engineer,Software and Services,Austin,"Sep 17, 2021",https://jobs.apple.com/en-us/details/200287260/platform-kernel-engineer?team=SFTWR
122,Robotics Planning Engineer,Software and Services,Santa Clara Valley (Cupertino),"May 6, 2020",https://jobs.apple.com/en-us/details/200169366/robotics-planning-engineer?team=SFTWR
123,Platform Kernel Engineer,Software and Services,San Diego,"Sep 17, 2021",https://jobs.apple.com/en-us/details/200287241/platform-kernel-engineer?team=SFTWR
124,Performance Compiler Engineer,Software and Services,Santa Clara Valley (Cupertino),"Mar 31, 2021",https://jobs.apple.com/en-us/details/200118656/performance-compiler-engineer?team=SFTWR
125,Static Analysis Engineer,Software and Services,Santa Clara Valley (Cupertino),"Aug 31, 2021",https://jobs.apple.com/en-us/details/200282584/static-analysis-engineer?team=SFTWR
126,Home Protocol Engineer,Software and Services,San Diego,"Oct 13, 2021",https://jobs.apple.com/en-us/details/200295697/home-protocol-engineer?team=SFTWR
127,Media Streaming Engineer,Software and Services,Santa Clara Valley (Cupertino),"Oct 19, 2021",https://jobs.apple.com/en-us/details/200189210/media-streaming-engineer?team=SFTWR
128,Home Protocol Engineer,Software and Services,San Diego,"Oct 13, 2021",https://jobs.apple.com/en-us/details/200295700/home-protocol-engineer?team=SFTWR
129,OS Performance Engineer,Software and Services,Santa Clara Valley (Cupertino),"Aug 10, 2021",https://jobs.apple.com/en-us/details/200275579/os-performance-engineer?team=SFTWR
130,Motion Software Engineer,Software and Services,Santa Clara Valley (Cupertino),"Oct 13, 2021",https://jobs.apple.com/en-us/details/200296582/motion-software-engineer?team=SFTWR
131,Platform Kernel Engineer,Software and Services,Santa Clara Valley (Cupertino),"Aug 10, 2021",https://jobs.apple.com/en-us/details/200231252/platform-kernel-engineer?team=SFTWR
132,CloudKit Solutions Engineer,Software and Services,Santa Clara Valley (Cupertino),"May 13, 2021",https://jobs.apple.com/en-us/details/200239612/cloudkit-solutions-engineer?team=SFTWR
133,Trusted Kernel Engineer,Software and Services,Santa Clara Valley (Cupertino),"Jun 9, 2021",https://jobs.apple.com/en-us/details/200254126/trusted-kernel-engineer?team=SFTWR
134,Xcode Frameworks Engineer,Software and Services,Santa Clara Valley (Cupertino),"Sep 21, 2021",https://jobs.apple.com/en-us/details/200229582/xcode-frameworks-engineer?team=SFTWR
135,Home Protocol Engineer,Software and Services,San Diego,"Sep 30, 2021",https://jobs.apple.com/en-us/details/200294161/home-protocol-engineer?team=SFTWR
136,Distributed Systems Engineer,Software and Services,Santa Clara Valley (Cupertino),"Sep 3, 2021",https://jobs.apple.com/en-us/details/200264151/distributed-systems-engineer?team=SFTWR
137,Systems Engineer (dyld),Software and Services,Santa Clara Valley (Cupertino),"Apr 15, 2021",https://jobs.apple.com/en-us/details/200235669/systems-engineer-dyld?team=SFTWR
138,Xcode Frameworks Engineer,Software and Services,Santa Clara Valley (Cupertino),"Aug 2, 2021",https://jobs.apple.com/en-us/details/200267176/xcode-frameworks-engineer?team=SFTWR
139,AR/VR Applications Engineer,Software and Services,Santa Clara Valley (Cupertino),"Jun 1, 2021",https://jobs.apple.com/en-us/details/200243864/ar-vr-applications-engineer?team=SFTWR
140,UIKit Frameworks Engineer,Software and Services,Santa Clara Valley (Cupertino),"Dec 10, 2020",https://jobs.apple.com/en-us/details/200211243/uikit-frameworks-engineer?team=SFTWR
141,Telephony Software Engineer,Software and Services,Santa Clara Valley (Cupertino),"Oct 13, 2021",https://jobs.apple.com/en-us/details/200284228/telephony-software-engineer?team=SFTWR
142,Senior Security Engineer,Software and Services,San Francisco,"Jul 15, 2021",https://jobs.apple.com/en-us/details/200259819/senior-security-engineer?team=SFTWR
143,WatchOS Accessibility Engineer,Software and Services,Santa Clara Valley (Cupertino),"Sep 10, 2021",https://jobs.apple.com/en-us/details/200286146/watchos-accessibility-engineer?team=SFTWR
144,System Software Engineer,Software and Services,Santa Clara Valley (Cupertino),"Sep 8, 2021",https://jobs.apple.com/en-us/details/200264360/system-software-engineer?team=SFTWR
145,CoreMedia Playback Engineer,Software and Services,Santa Clara Valley (Cupertino),"May 24, 2021",https://jobs.apple.com/en-us/details/200238796/coremedia-playback-engineer?team=SFTWR
146,CoreOS Triage Engineer,Software and Services,Santa Clara Valley (Cupertino),"Aug 23, 2021",https://jobs.apple.com/en-us/details/200275889/coreos-triage-engineer?team=SFTWR
147,Sr. UC Engineer,Software and Services,Austin,"Oct 12, 2021",https://jobs.apple.com/en-us/details/200264806/sr-uc-engineer?team=SFTWR
148,Wireless Software Engineer,Software and Services,San Diego,"Sep 28, 2021",https://jobs.apple.com/en-us/details/200292129/wireless-software-engineer?team=SFTWR
149,Software Engineering Manager,Software and Services,San Diego,"Sep 21, 2021",https://jobs.apple.com/en-us/details/200262666/software-engineering-manager?team=SFTWR
150,Media Streaming Engineer,Software and Services,Santa Clara Valley (Cupertino),"Nov 2, 2020",https://jobs.apple.com/en-us/details/200202814/media-streaming-engineer?team=SFTWR
151,Cloud Infrastructure Engineer,Software and Services,Santa Clara Valley (Cupertino),"Feb 8, 2021",https://jobs.apple.com/en-us/details/200221680/cloud-infrastructure-engineer?team=SFTWR
152,Home AI Engineer,Software and Services,Santa Clara Valley (Cupertino),"Sep 20, 2021",https://jobs.apple.com/en-us/details/200287036/home-ai-engineer?team=SFTWR
153,AR/VR iOS Engineer,Software and Services,Santa Clara Valley (Cupertino),"Sep 28, 2021",https://jobs.apple.com/en-us/details/200293514/ar-vr-ios-engineer?team=SFTWR
154,Telephony Software Engineer,Software and Services,Santa Clara Valley (Cupertino),"Sep 30, 2020",https://jobs.apple.com/en-us/details/200196397/telephony-software-engineer?team=SFTWR
155,HomeKit Software Engineer,Software and Services,Santa Clara Valley (Cupertino),"Apr 27, 2021",https://jobs.apple.com/en-us/details/200233362/homekit-software-engineer?team=SFTWR
156,GPU Driver Engineer,Software and Services,Austin,"Sep 27, 2021",https://jobs.apple.com/en-us/details/200283672/gpu-driver-engineer?team=SFTWR
157,Senior Firmware  Engineer,Software and Services,Austin,"Oct 22, 2021",https://jobs.apple.com/en-us/details/200272481/senior-firmware-engineer?team=SFTWR
158,Telephony Software Engineer,Software and Services,Santa Clara Valley (Cupertino),"Oct 21, 2021",https://jobs.apple.com/en-us/details/200284212/telephony-software-engineer?team=SFTWR
159,AR/VR Prototyping Engineer,Software and Services,Santa Clara Valley (Cupertino),"Jun 1, 2021",https://jobs.apple.com/en-us/details/200244078/ar-vr-prototyping-engineer?team=SFTWR
160,OS Performance Engineer,Software and Services,Santa Clara Valley (Cupertino),"Sep 22, 2021",https://jobs.apple.com/en-us/details/200271349/os-performance-engineer?team=SFTWR
161,AR/VR Graphics Engineer,Software and Services,Santa Clara Valley (Cupertino),"May 18, 2021",https://jobs.apple.com/en-us/details/200233832/ar-vr-graphics-engineer?team=SFTWR
162,Privacy Software Engineer,Software and Services,Santa Clara Valley (Cupertino),"May 3, 2021",https://jobs.apple.com/en-us/details/200244454/privacy-software-engineer?team=SFTWR
163,macOS Tools Engineer,Software and Services,Santa Clara Valley (Cupertino),"Apr 27, 2021",https://jobs.apple.com/en-us/details/200241798/macos-tools-engineer?team=SFTWR
164,Authentication Experience Engineer,Software and Services,Santa Clara Valley (Cupertino),"Sep 3, 2021",https://jobs.apple.com/en-us/details/200284441/authentication-experience-engineer?team=SFTWR
165,Release Automation Engineer,Software and Services,San Diego,"Sep 16, 2021",https://jobs.apple.com/en-us/details/200289385/release-automation-engineer?team=SFTWR
